Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
KwfvcbL3kX;Hoth;aegonunlikley;155;1;3761423;24267;0;Ice World;League of Independent States;Human;0;2023-01-31 00:00:00;;0;123;191;106;-1/-2;web.windowsstore;0;rSVttCY2;1
kwV7wE6UMj;LIS Beta;BerkianDragon1993;23;0;430643;18724;0;Water World;League of Independent States;Human;0;2022-12-17 00:00:00;;3;100;251;519;-1/-2;steam.windows;0;yAzbIsgpL8;1
kxC8kneDIe;ULAZ Forge;IronMonkey;2580;18;13522058;5241;0;Earthlike;United Earth;Human;0;2023-02-02 00:00:00;;4;123;-190;-933;64/-30;web.apewebapps;0;zmZZGD4dZS;1
KXLiUnaB;Democratic State Of Split-Way;Stockholm11;3024;0;6571310;2173;0;Red Planet;United Earth;Human;0;2022-09-16 00:00:00;;0;123;185;-157;0/0;ios.appstore;0;earth;0
KxNtNEfa08;Chainsmokers;jameseli33;2176;20;2071518;952;0;Lunar;United Earth;Human;0;2023-03-04 00:00:00;;1;123;237;-779;0/1;steam.windows;0;krXZDou6Td;0
KxqR3Skhbt;banana;5924001999;55;24;268296;4878;0;Abandoned World;League of Independent States;Human;0;2023-03-08 00:00:00;;3;123;-38;139;-1/-2;steam.windows;0;ZRAVPYwLte;1
KXRqxT3T8y;Markmars;usbrit72;62896;20;2530208512;40228;1;Red Planet;United Earth;Human;1;2022-12-15 00:00:00;2022-12-21 00:00:00;3;123;815;-892;109/-63;web.apewebapps;0;J60cMrq2;0
kXxCdc35Qj;New hope;Sunburn01;20867;12;62382574;2990;1;Red Planet;United Earth;Human;1;2023-01-22 00:00:00;2023-01-24 00:00:00;4;123;-550;506;0/0;steam.windows;0;earth;1
kydWyQySGz;SYNC_RUN01;synctrox;61131;6;841977179;13773;0;Lunar;United Earth;Human;1;2022-12-15 00:00:00;2022-12-15 00:00:00;4;123;-929;-592;23/-63;web.apeappslauncher;0;NqkdrjBDCo;0
KymSLrOTYf;Florpa Moom;Sailorcast;72;90;7163;99;0;Lunar;Zolarg Empire;Insectoids;0;2023-03-09 00:00:00;;0;100;763;-290;26/-41;android.gplay;0;zolarg;1
KYXJZurKEe;Ronin;eLONmUSK1;120928;40;2897587395;23961;0;Earthlike;United Earth;Human;0;2023-02-23 00:00:00;;3;123;-891;-938;0/1;web.apewebapps;0;7sj013OycH;0
l0kBpS0osU;Luna 1;PipTheFirst;5129;14;11257745;2195;0;Lunar;United Earth;Human;0;2023-01-16 00:00:00;;3;123;790;687;-4/-37;web.apewebapps;0;aie0jW9zN9;1
l0qMUPNt6j;Gasville;gascanboss;295;5;1276201;4326;0;Earthlike;United Earth;Human;0;2023-02-03 00:00:00;;3;123;726;378;0/-1;android.gplay;0;yunO78smkV;0
l2s9e5hUyY;NN;markonhorse;8;0;574758;71845;0;Earthlike;United Earth;Human;1;2022-12-04 00:00:00;;3;123;240;135;-1/1;ios.appstore;0;PK4fy2nfcg;0
l3GsxfryKl;The New Cyan World;CyanGaming;12;25;86880;7240;0;Earthlike;United Earth;Human;0;2023-01-24 00:00:00;;3;123;-74;-836;0/1;android.gplay;0;piVpTTB9;0
L3NxisBrT3;Huuman Domination - Octi;RLMYTHICALLEGEND;44192476;98;2458347892229;55628;1;Lunar;United Earth;Human;1;2022-11-28 00:00:00;2022-11-30 00:00:00;5;123;787;-125;81/-69;web.apewebapps;0;18vKskkBFx;1
l3v7ZElnMK;Sadess2;carrier57;10;0;111594;11159;0;Lunar;United Earth;Human;0;2023-02-05 00:00:00;;0;123;-585;782;0/0;web.apewebapps;0;earth;0
L4BdgoSwh0;Ant colony 1;DADDYTYRONE;1718774;17;42649444388067;24813876;0;Sugarland;Zolarg Empire;Insectoids;1;2019-08-22 00:00:00;2019-12-07 00:00:00;3;;576;-893;34/-9;android.gplay;0;;1
L7lWogJ7QK;infinity;Hayek99;1021;0;4092496;4008;0;Lunar;United Earth;Human;0;2023-02-10 00:00:00;;0;123;760;272;0/1;steam.windows;0;hz22MAQlHN;1
L7SgM13B8m;Toml;Snoot;14;53;6568;469;0;Earthlike;United Earth;Human;0;2022-12-28 00:00:00;;3;100;-680;652;1/-1;ios.appstore;0;7XJIxHnWYQ;0
l7Zm9xDxn3;Orange;orangeygoo;1748;0;4879341;2791;0;Red Planet;United Earth;Human;0;2023-01-12 00:00:00;;1;123;-792;-401;0/1;android.gplay;0;IvwKkU5khK;0
l8JgJfoF44;Out of nowhere;Djbside;66;4;324505;4917;0;Abandoned World;League of Independent States;Human;0;2022-12-26 00:00:00;;3;123;-358;-557;-1/-2;ios.appstore;0;yVbzSmzkiP;1
L8SbcApcOV;New Wales;CallumP;65;0;212069;3263;0;Earthlike;United Earth;Human;0;2022-12-07 00:00:00;;3;123;190;150;-7/-21;web.windowsstore;0;QHeKTA9wvX;1
laCCqedd1a;COPIUM INDUSTRIES;McMaker2;14;8;932400;66600;0;Earthlike;United Earth;Human;0;2023-02-16 00:00:00;;3;100;882;-291;-1/2;ios.appstore;0;hbDaYIBG7v;0
LAfntaQglj;Moon Five;usbrit72;14792;30;45726407;3091;0;Lunar;United Earth;Human;0;2023-01-08 00:00:00;;3;123;-178;-695;0/1;web.apewebapps;0;RfmgklQIBP;0
